index,joint,raw_mean,raw_std,raw_min,raw_max,raw_p95,raw_p99,raw_abs_p95,raw_abs_p99,raw_excess_fraction,bounded_saturation_fraction,target_lower_limit_fraction,target_upper_limit_fraction,target_min_rad,target_max_rad,q_mean_rad,q_min_rad,q_max_rad,qdot_abs_p95_rad_s,qdot_abs_p99_rad_s,velocity_limit_fraction,torque_abs_mean_nm,torque_abs_p95_nm,torque_abs_p99_nm,torque_over_soft_fraction,torque_limit_fraction,target_residual_abs_mean_rad,standing_raw_abs_mean,standing_bounded_abs_mean,standing_raw_excess_fraction,standing_target_residual_abs_mean_rad,standing_target_limit_fraction,standing_joint_pos_error_abs_mean_rad,standing_torque_abs_mean_nm,standing_torque_over_soft_fraction,standing_torque_limit_fraction
0,leg_left_hip_roll_joint,-0.0834425836801529,0.7158121466636658,-4.013509750366211,4.363999843597412,1.3408039629459376,1.7872786200046542,1.480443012714386,1.8259659349918367,0.171375,0.171671875,0.0,0.0,-0.20000000298023224,0.20000000298023224,0.014288762584328651,-0.2592940330505371,0.25218841433525085,0.12532536089420318,0.20145728856325187,0.0,0.6016974449157715,1.2653705537319182,1.5613552832603461,0.0020546875,5.989583333333333e-05,0.0998566597700119,0.39490416646003723,0.38283300399780273,0.027378190255220418,0.07657657563686371,0.0,0.07688884437084198,0.6291864514350891,0.0022136289421672254,4.1247744263985565e-05
1,leg_left_hip_yaw_joint,-0.03130114823579788,0.6773947477340698,-2.5528390407562256,3.9131624698638916,0.8731865823268891,1.0743370366096496,1.027550536394119,1.255525372028351,0.06139322916666667,0.061890625,0.4295729166666667,0.0,-0.08897088468074799,0.20000000298023224,-0.0026253354735672474,-0.08951520919799805,0.1487310230731964,0.05327195990830658,0.09933892138302328,0.0,0.379830002784729,0.9965463429689404,1.3601627862453463,0.0013463541666666667,0.00028125,0.10030610114336014,0.6632838249206543,0.655776858329773,0.052539314256251614,0.10759890079498291,0.44707742545329554,0.07932884246110916,0.38340887427330017,0.0013061785683595429,0.00027842227378190254
2,leg_left_hip_pitch_joint,-0.47076407074928284,0.5071899890899658,-4.587335586547852,4.865877151489258,0.4051115572452539,0.9592889297008518,1.146077036857605,1.9305629372596804,0.107484375,0.1080390625,0.0,0.0,-0.30000001192092896,0.10000000149011612,-0.12262989580631256,-0.3639824390411377,0.2941400110721588,0.20151282921433433,0.3519426524639136,0.0,1.1047654151916504,2.1605213999748227,2.576161615848543,0.07028125,0.0013489583333333333,0.10950573533773422,0.5979614853858948,0.567581295967102,0.11565180029217152,0.11352545022964478,0.0,0.05280028656125069,1.0211718082427979,0.023490590358339777,9.624473661596631e-05
3,leg_left_knee_pitch_joint,-0.4684503972530365,0.48106974363327026,-3.9768548011779785,4.5729475021362305,0.4865967661142347,1.3463788151741047,1.060202008485794,1.5914646303653757,0.07155208333333334,0.0719765625,0.0,0.0,0.20000000298023224,0.6000000238418579,0.532099723815918,0.37007829546928406,1.5481094121932983,0.36084146797657013,0.5236455315351493,0.0,2.1867897510528564,2.9217315196990965,2.940000057220459,0.5983828125,0.08791145833333333,0.1151624470949173,0.6161130666732788,0.597656786441803,0.06872561656784394,0.11954084783792496,0.0,0.11642815917730331,2.239447832107544,0.6245183466529174,0.07664518346652917
4,leg_left_ankle_pitch_joint,0.6565924882888794,0.23259954154491425,-3.4706497192382812,3.161684513092041,0.9927869141101837,1.4552967905998262,0.9934423208236693,1.4617613840103152,0.04799739583333333,0.04827083333333333,0.0,0.0,-0.5,-0.10000000894069672,-0.2498687505722046,-0.8165246248245239,-0.0553773008286953,0.20206882208585733,0.5445010161399852,0.0,0.8189665675163269,2.6598035454750053,2.940000057220459,0.1068984375,0.04126822916666667,0.1289948672056198,0.6434148550033569,0.632929265499115,0.027196012718054483,0.12659548223018646,0.0,0.07819350063800812,0.5699999928474426,0.029664002749849618,0.016585030506144197
5,leg_left_ankle_roll_joint,0.030904343351721764,0.483391672372818,-3.1678271293640137,6.36058235168457,0.707526785135269,1.0346155679225923,0.7804175078868866,1.0872036826610565,0.014044270833333334,0.014104166666666666,0.0,0.0,-0.20000000298023224,0.20000000298023224,0.04247487708926201,-0.5167350172996521,0.23184339702129364,0.384466515481472,0.5224906486272812,5.208333333333333e-06,0.7081876397132874,1.5036378979682916,2.5061281538009665,0.0219140625,0.0067890625,0.08265526592731476,0.41753846406936646,0.41251030564308167,0.010346309186216379,0.08251066505908966,0.0,0.10815634578466415,0.6256707906723022,0.008703274039700953,0.005520323107330068
6,leg_right_hip_roll_joint,-0.004852973390370607,0.7132949233055115,-2.085191249847412,6.7897467613220215,1.0854261875152587,1.8866191339492815,1.2853304982185363,1.8965911030769351,0.13365885416666667,0.13406770833333334,0.0,0.0,-0.20000000298023224,0.20000000298023224,0.03569844737648964,-0.2213762402534485,0.2594203054904938,0.14540715441107746,0.21495279952883722,0.0,0.6413490176200867,1.098505187034607,1.3280596864223482,0.000890625,3.90625e-05,0.10780399292707443,0.46824905276298523,0.44847145676612854,0.026752599467216635,0.08970380574464798,0.0,0.08429823070764542,0.7106814384460449,0.000979633926269657,4.1247744263985565e-05
7,leg_right_hip_yaw_joint,-0.016194358468055725,0.509577751159668,-3.5653979778289795,4.826278209686279,0.9993540585041036,1.4307337152957922,1.0742098212242124,1.4590161097049723,0.059296875,0.05938541666666667,0.3894921875,0.0,-0.05675728991627693,0.20000000298023224,0.011762958951294422,-0.05763344094157219,0.15485727787017822,0.04974037688225507,0.10972931273281575,0.0,0.3398333191871643,0.938624146580696,1.2240163934230812,0.0009036458333333333,0.00013541666666666666,0.0657954290509224,0.3551677465438843,0.35096073150634766,0.014213285210965026,0.056704942137002945,0.40153991578585546,0.07084469497203827,0.3168562054634094,0.000862765317521698,0.0001168686087479591
8,leg_right_hip_pitch_joint,-0.6203780770301819,0.41826871037483215,-4.176436424255371,4.97008752822876,0.053653058409690604,0.569326390028,1.1827121555805207,1.908689107894899,0.12991666666666668,0.13059895833333332,0.0,0.0,-0.30000001192092896,0.10000000149011612,-0.117635078728199,-0.32874247431755066,0.3485979437828064,0.2023017205297946,0.3150221920013428,0.0,1.3304338455200195,2.940000057220459,2.940000057220459,0.3856875,0.07049739583333334,0.1247297152876854,0.6655623316764832,0.6368610262870789,0.11520151241728968,0.12738139927387238,0.0,0.08253849297761917,1.3102673292160034,0.3876566125290023,0.01777090315373378
9,leg_right_knee_pitch_joint,-0.5304319858551025,0.5320411324501038,-5.4638752937316895,3.554586410522461,0.34762221574783225,1.0933120751380947,1.2124341070652007,1.554402027130127,0.23358072916666667,0.23469270833333333,0.0,0.0,0.20000000298023224,0.6000000238418579,0.5328762531280518,0.2721146047115326,1.396830439567566,0.3594892486929893,0.5081472074985509,0.0,2.2023983001708984,2.940000057220459,2.940000057220459,0.5842630208333334,0.1330390625,0.11916100233793259,0.6717201471328735,0.6335748434066772,0.25584944573343643,0.12672443687915802,0.0,0.10449133813381195,2.132528305053711,0.5425762653604881,0.028780613560195928
10,leg_right_ankle_pitch_joint,0.5888910889625549,0.26703086495399475,-4.240645408630371,3.5928072929382324,0.9936035543680186,1.3556344318389906,0.9947591513395309,1.3595281791687017,0.048671875,0.048927083333333336,0.0,0.0,-0.5,-0.10000000894069672,-0.26191386580467224,-0.8538143634796143,-0.07058893889188766,0.2186931572854518,0.5977141785621662,2.6041666666666666e-06,0.8758584856987,2.940000057220459,2.940000057220459,0.13716666666666666,0.065890625,0.11610698699951172,0.5431626439094543,0.5365232825279236,0.02068230643636676,0.1073143482208252,0.0,0.0684262290596962,0.549420177936554,0.029828993726905558,0.014862937183122798
11,leg_right_ankle_roll_joint,-0.15367008745670319,0.31383684277534485,-3.9792003631591797,3.1740095615386963,0.35995358228683416,0.8183861315250398,0.6649864852428434,0.9889749693870546,0.0096328125,0.009671875,0.0,0.0,-0.20000000298023224,0.20000000298023224,-0.0019873399287462234,-0.2131141722202301,0.2927796542644501,0.4064180478453636,0.5551960837841038,2.6041666666666666e-06,0.3830519914627075,1.1674469709396358,1.930703285932547,0.0076640625,0.0015963541666666667,0.0533105842769146,0.258853942155838,0.25563982129096985,0.0076617684970353185,0.0511377789080143,0.0,0.023779617622494698,0.3040423095226288,0.0024748646558391337,0.0010586921027756296
